OBJECTID,FEATURE_ID,OPERATIONAL,LENGTH,DIRECTION,CARRIAGEWAY,ROAD_NAME,BOROUGH,WEEK_DAYS,SATURDAY,SUNDAY,EVENT_DAYS,VEHICLES,ROUTE,LANE_TYPE,ROADTYPE,YEAR_REMOVED,DATASET_LAST_UPDATED,Shape__Length
50152,af73426d-82f5-49ad-b6d3-c049f05f7df5,Live,190,South,Nearside,Amersham Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","21, 136, 171, 172, 321, 436, N21, N136, N171",Not Applicable,TLRN,,2024/08/13 00:00:00+00,190.371572231209
50153,ee56d193-b8c5-49ee-9fa9-bc57fe29fac7,Live,128,South West,Nearside,Balham High Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","155, 249, 355, N155, UL41",Not Applicable,TLRN,,2024/08/13 00:00:00+00,127.972714935594
50154,e16579de-c52e-4c52-983c-164a3703a797,Live,200,North,Nearside,Commonside West,Merton,07:00-10:00,07:00-10:00,Not in Operation,Not Applicable,"Bus, Cycle, Motorcycle and Taxi","264, 270, 355",Not Applicable,Borough,,2024/08/13 00:00:00+00,199.578745801489
50155,924c1048-b37f-486f-b116-7865555883c4,Live,115,North,Nearside,High Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","67, 76, 149, 243, 349, 476, N73",Not Applicable,TLRN,,2024/08/13 00:00:00+00,114.654691880244
50156,4e25792c-ab59-4c24-9c94-0463308ae093,Live,301,North West,Nearside,Holloway Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","21, 43, 153, 263, 393, N41, N271, UL21, UL42, UL70",Not Applicable,TLRN,,2024/08/13 00:00:00+00,301.293758825262
50157,960e47af-d303-40f4-8de1-2af95096896c,Live,84,North East,Nearside,Bath Road,Hounslow,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","81, 203, 222, 482, H32, H91, H98, N9, UL29, UL31",Not Applicable,Borough,,2024/08/13 00:00:00+00,84.0607963757935
50158,7fd84942-3d4a-41be-a422-beb2f50067f8,Live,121,South West,Nearside,Hillstowe Street,Hackney,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle, Motorcycle and Taxi","55, 56, N38, N55, UL10, UL40, UL60, UL69",Not Applicable,Borough,,2024/08/13 00:00:00+00,120.634024371848
50159,440dbfd1-f1a1-49ae-8e98-d0ef047422ba,Live,38,East,Nearside,Turnpike Lane,Haringey,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","41, 144, N41, N91",Not Applicable,Borough,,2024/08/13 00:00:00+00,37.915542500785
50160,e73c3245-bf55-4822-bc20-9aecacf5b3f0,Live,330,South West,Nearside,Marlborough Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","17, 43, 263, N41, N271",Not Applicable,TLRN,,2024/08/13 00:00:00+00,330.123965957324
50161,4bd458f1-90ad-42be-a00d-27899e66614b,Live,193,East,Nearside,Pearman Street,Lambeth,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","12, 53, 59, 148, 453, N53, N109, N155, SL6, Y148",Not Applicable,Borough,,2024/08/13 00:00:00+00,193.342028973072
50162,636bc4df-812e-4279-b0c7-ad11a4908b6d,Live,261,North East,Nearside,Seven Sisters Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","253, 254, 259, 279, N253, N279, UL35",Not Applicable,TLRN,,2024/08/13 00:00:00+00,261.498528401843
50163,6ad07596-eb47-42fc-a138-9add0ff88c69,Live,73,North West,Nearside,Hoe Street,Waltham Forest,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","20, 55, 69, 97, 230, 257, 357, N26, N38, UL7, W12, W15, W19",Not Applicable,Borough,,2024/08/13 00:00:00+00,72.770343073882
50164,2f18554f-2f3f-4e63-8651-d4ed9c840511,Live,200,North,Nearside,High Road,Barnet,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,Bus and Cycle,"102, 143, 234, 263, 603, H3, N20, N271, UL4, UL58",Not Applicable,Borough,,2024/08/13 00:00:00+00,200.477399384164
50165,0033f743-992f-4b50-8cf7-0f93363e7a09,Live,23,North,Nearside,Kennington Road,Lambeth,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","3, 59, 159, 360, N3, N109, SL6",Not Applicable,Borough,,2024/08/13 00:00:00+00,23.365886858888
50166,3ec97efd-52d7-4fa1-b218-0f965e6711ca,Live,196,West,Nearside,East Dulwich Road,Southwark,07:00-19:00,07:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","37, 484, UL3",Not Applicable,Borough,,2024/08/13 00:00:00+00,195.645933190863
50167,0b8cc755-2cdf-487d-a1db-1f8fc2a26244,Live,342,North East,Nearside,Clapham High Street,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","50, 88, 155, 322, 345, N155, UL3, UL41",Not Applicable,TLRN,,2024/08/13 00:00:00+00,341.908743724818
50168,d807c2a3-cfb6-466d-a509-f0621f7bca5f,Live,159,North West,Nearside,Church Street,Enfield,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle and Taxi","616, UL18, UL50, UL65, UL66, W8",Not Applicable,Borough,,2024/08/13 00:00:00+00,159.331474867774
50169,f13d0d50-9821-4c3e-ba01-e5a247f30cb7,Live,95,North,Nearside,Scrubs Lane,Hammersmith & Fulham,07:00-10:00,07:00-10:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","72, 220, 272, 283, N72, UL36, Y7, Y7N, Y31",Not Applicable,Borough,,2024/08/13 00:00:00+00,95.114051471509
50170,e0a59667-bec3-4407-ab21-007384531ff4,Live,287,East,Nearside,Kennington Oval,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","36, 36X, 185, 436, 759, N136, Y36",Not Applicable,TLRN,,2024/08/13 00:00:00+00,286.784886816845
50171,a2d71b42-694b-418e-a281-3708d9d88f08,Live,225,North West,Nearside,Stockwell Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,Bus and Cycle,"2, 196, 322, 333, 345, N2, UL37",Not Applicable,TLRN,,2024/08/13 00:00:00+00,225.039465296618
50172,7c7c3cfb-f29c-44f3-ba9c-d7aa864a4fcf,Live,424,South,Nearside,Borough High Street,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","17, 21, 35, 43, 47, 133, 141, 149, 344, 388, N21, N133, N199",Not Applicable,TLRN,,2024/08/13 00:00:00+00,423.801624271085
50173,bd219ddb-d74c-4a59-8056-b23c3bd60379,Live,181,North East,Nearside,Central Way,Greenwich,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","177, 229, 401, 472, 601, 602, 669, N1, SL3",Not Applicable,Borough,,2024/08/13 00:00:00+00,181.409908282165
50174,76f49001-6136-49eb-a707-dca9a6be48fc,Live,164,North,Nearside,Farthing Way,Croydon,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi",404,Not Applicable,TLRN,,2024/08/13 00:00:00+00,164.082904980785
50175,9b0e4a81-ed3d-4cee-b806-cb1dc70f87a4,Live,59,West,Nearside,Balls Pond Road,Hackney,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle and Taxi","30, 38, 56, N38, N277, UL21, UL42, UL70",Not Applicable,Borough,,2024/08/13 00:00:00+00,58.8801755309281
50176,237f49b1-9437-4e45-9b3d-9f3e62cc6c9c,Live,12,North,Nearside,Northolt Road,Ealing,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","140, 395, 398, 487, N140, SL9",Not Applicable,Borough,,2024/08/13 00:00:00+00,12.4585317539149
50177,aaaa6387-a977-488a-b59a-1a944d143517,Live,175,South,Nearside,Colney Hatch Lane,Haringey,07:00-10:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","43, 134, 634",Not Applicable,Borough,,2024/08/13 00:00:00+00,174.75378625229
50178,2550d68c-cc05-4d78-97cf-589c4409589b,Live,612,South East,Nearside,Southampton Row,Camden,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","1, 8, 19, 38, 55, 59, 68, 91, 98, 188, 243, N1, N8, N19, N25, N38, N41, N55, N68, N91, N98, N171, N242, SL6",Not Applicable,Borough,,2024/08/13 00:00:00+00,611.81086077538
50179,a273146e-a958-4c8f-991e-a7724eaaf17a,Live,818,East,Nearside,New Cross Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","1, 53, 63, 172, 188, 363, 415, 453, N1, N53, N63",Not Applicable,TLRN,,2024/08/13 00:00:00+00,817.886963485354
50180,49198544-b203-45e4-8e25-bc01ae2de939,Live,217,East,Nearside,Homerton Road,Hackney,16:00-19:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","308, N26, W15",Not Applicable,Borough,,2024/08/13 00:00:00+00,217.432303616525
50181,c733a1eb-8af7-44f0-808c-066e17fff0ae,Live,34,South West,Nearside,Euston Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,Bus and Cycle,"18, 30, 73, 205, 390, N5, N20, N73, N205, N253, Y18",Not Applicable,TLRN,,2024/08/13 00:00:00+00,34.3041291745178
50182,d5ffab1a-37a5-45d3-8df6-9640f062abef,Live,831,South East,Nearside,Harrow Road,Brent,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","18, 440, N18, UL15, UL19, UL27, UL33, UL43, UL85, UL92, Y18, Y18N",Not Applicable,Borough,,2024/08/13 00:00:00+00,831.380158482223
50183,07db334a-66af-409d-be17-91433b156afb,Live,288,North,Nearside,Cowthorpe Road,Lambeth,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","77, 87, 196, 452, N87, Y452",Not Applicable,Borough,,2024/08/13 00:00:00+00,288.189143597612
50184,0711c7c5-4308-45f9-9699-6af3874afb3a,Live,335,North,Nearside,Streatham High Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","50, 60, 109, 118, 133, 159, 249, 250, 255, G1, N109, N133, N250, P13",Not Applicable,TLRN,,2024/08/13 00:00:00+00,334.949275367517
50185,1e6ab898-1484-4e04-8548-61b0fb67c0cd,Live,437,South,Nearside,Great Cambridge Road,Enfield,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","144, 217, 231, 444, 617",Not Applicable,TLRN,,2024/08/13 00:00:00+00,436.819511245915
50186,0105993e-32d2-4874-9896-8d4b78057c5c,Live,264,South West,Nearside,Mile End Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","25, 205, 339, N25, N205, UL79",Not Applicable,TLRN,,2024/08/13 00:00:00+00,264.143674478511
50187,431ff563-b7ca-4621-884e-73bde247d26d,Live,478,North East,Nearside,Old Kent Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","21, 53, 78, 172, 381, 453, N21, N53, N381",Not Applicable,TLRN,,2024/08/13 00:00:00+00,477.840809247208
50188,09507ace-64b3-438f-81d7-2e3e423b4080,Live,318,South West,Nearside,Lambeth Palace Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","77, C10",Not Applicable,TLRN,,2024/08/13 00:00:00+00,317.724065787284
50189,0d5bb660-695c-473b-93eb-6b3b50ef6cd5,Live,48,North,Nearside,High Holborn,City of London,07:00-19:00,07:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","8, 59, 133, N8, N25, N242",Not Applicable,Borough,,2024/08/13 00:00:00+00,47.8587373835923
50190,32018624-3280-41e7-80ab-ae946f81ac3d,Live,537,North West,Nearside,Holloway Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","21, 43, 263, 393, N41, N271, UL21, UL42, UL70",Not Applicable,TLRN,,2024/08/13 00:00:00+00,537.474910567968
50191,b659819e-6f63-4845-b5fd-9ea1d2e0d54e,Live,446,North,Nearside,Chingford Road,Waltham Forest,07:00-19:00,07:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","34, 97, 215, 357, N26, SL1",Not Applicable,Borough,,2024/08/13 00:00:00+00,446.341476691616
50192,5841b0fa-9f48-495d-bf61-5ec9a782c321,Live,429,North West,Nearside,Cricklewood Broadway,Brent,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","16, 32, 189, 316, 632, N32, UL6, Y316",Not Applicable,Borough,,2024/08/13 00:00:00+00,428.656078331693
50193,22612451-8758-431f-a1ef-9474e5e508c4,Live,57,West,Nearside,Jamaica Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","47, 108, 188, 381, C10, N199, N381, P12, UL53",Not Applicable,TLRN,,2024/08/13 00:00:00+00,57.1842840494136
50194,93f61b32-7786-47ab-b561-136b6107a2a5,Live,167,West,Nearside,Lavender Hill,Wandsworth,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle and Taxi","35, 37, 39, 49, 77, 87, 156, 170, 219, 295, 319, 337, 344, 345, 639, 670, C3, G1, N19, N31, N87, UL3",Not Applicable,Borough,,2024/08/13 00:00:00+00,166.830109753752
50195,55a93084-d016-4ec7-adc7-63962d76384b,Live,62,South West,Nearside,Battersea Park Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","44, 344, N44",Not Applicable,TLRN,,2024/08/13 00:00:00+00,61.7258661382828
50196,1591d8f5-da19-4559-8663-11857c1bd856,Live,742,South East,Nearside,New Cross Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","21, 36, 53, 136, 171, 172, 177, 343, 436, 453, N21, N53, N89, N136, N171, N343, P13, UL3, Y36",Not Applicable,TLRN,,2024/08/13 00:00:00+00,742.315358583419
50197,60c8122b-1707-4587-a1c0-f74b5568aba6,Live,244,North,Nearside,Finchley Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","13, 46, 113, 187, N113, UL6, UL92",Not Applicable,TLRN,,2024/08/13 00:00:00+00,244.09310533238
50198,ce4394e7-6211-4ab1-a5b9-a71d16f95a89,Live,93,South East,Nearside,Grove Vale,Southwark,07:00-19:00,07:00-19:00,07:00-19:00,Not Applicable,"Bus, Cycle and Taxi","40, 42, 176, 185, 484, P13, UL3",Not Applicable,Borough,,2024/08/13 00:00:00+00,93.1495639281482
50199,29edb051-59f3-42a4-b8d1-45fb641ea713,Live,617,North East,Nearside,Brompton Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","14, 74, 414, C1, N74, N97, UL38, UL72, UL94, Y414",Not Applicable,TLRN,,2024/08/13 00:00:00+00,616.753284914464
50200,beca30bd-5c29-464a-9a28-ce6b7e7674ed,Live,284,North East,Nearside,Euston Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","18, 30, 73, 205, 390, N5, N20, N73, N205, N253, Y18",Not Applicable,TLRN,,2024/08/13 00:00:00+00,283.597227372838
50201,bf0b6308-64d3-4309-98d7-2c8a0f94ec7e,Live,48,North,Nearside,High Road,Haringey,"07:00-10:00, 16:00-19:00",Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle, Motorcycle and Taxi","121, 141, 232, 329, 629, N29",Not Applicable,Borough,,2024/08/13 00:00:00+00,48.0717674614136
50202,0d3e3bbb-9b5c-4f7f-9a3f-255f98f16c9e,Live,10,West,Nearside,Grahame Park Way,Barnet,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,Bus,"186, 204, 303, 632, 642, N5",Not Applicable,Borough,,2024/08/13 00:00:00+00,10.2508912456609
50203,f24607d0-bca1-4272-a9f9-afa0c6a5c5fe,Live,325,East,Nearside,Jamaica Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","47, 108, 188, 381, C10, N199, N381, UL53",Not Applicable,TLRN,,2024/08/13 00:00:00+00,324.953134130793
50204,250e75fe-fd4e-47c3-a335-9b25774ba91d,Live,228,North,Nearside,London Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","109, N109",Not Applicable,TLRN,,2024/08/13 00:00:00+00,227.679205166007
50205,f5583813-60a3-46a1-8b33-f9452e9557c0,Live,91,North,Nearside,High Road,Haringey,13:00-19:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","149, 259, 279, 349, N279, UL18, UL50, UL65, UL66",Not Applicable,Borough,,2024/08/13 00:00:00+00,90.5371446677451
50206,1e2e684c-80bb-4251-a135-86829c3ec1dd,Live,199,North,Nearside,Morden Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","93, 470, N155, TR3, UL41",Not Applicable,Borough,,2024/08/13 00:00:00+00,199.141139186771
50207,0dfba890-010c-4593-ac8f-6163149a12c4,Live,723,South West,Nearside,Church Road,Transport for London,"07:00-10:00, 16:00-19:00",Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle, Motorcycle and Taxi","90, 120, 140, 282, N7, N140, SL9, Y7N",Not Applicable,TLRN,,2024/08/13 00:00:00+00,723.07698793085
50208,0093ed92-e755-4152-a91c-87dc1e0fe13b,Live,519,East,Nearside,Commercial Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","15, 115, 135, N15, N550, UL62",Not Applicable,TLRN,,2024/08/13 00:00:00+00,519.32525828346
50209,a06b0f1e-b9e1-4557-9d99-9d94b93227ca,Live,31,North East,Nearside,Lea Bridge Road,Hackney,07:00-19:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","55, 56, N38, N55, UL10, UL40, UL60, UL69",Not Applicable,Borough,,2024/08/13 00:00:00+00,30.9902863375334
50210,0a4a5f14-0780-49ad-97a8-fab68b7261c0,Live,241,North West,Nearside,Stockwell Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","2, 196, 333, 345, N2, UL37",Not Applicable,TLRN,,2024/08/13 00:00:00+00,240.901130103644
50211,91cfeb45-843c-4b23-97da-8d4f070efbe3,Live,37,South,Nearside,High Road,Haringey,"07:00-10:00, 16:00-19:00",Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle, Motorcycle and Taxi","121, 141, 232, 329, 629, N29",Not Applicable,Borough,,2024/08/13 00:00:00+00,37.0971301362249
50212,1f467def-6f93-4f58-b1aa-f8a88b982aab,Live,144,East,Nearside,Old Street,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","55, 135, 205, 243, N55, N205",Not Applicable,TLRN,,2024/08/13 00:00:00+00,144.360116363204
50213,35287968-9481-4149-9124-6d50d43117f4,Live,212,North East,Nearside,Seven Sisters Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","253, 254, 259, 279, N253, N279, UL35",Not Applicable,TLRN,,2024/08/13 00:00:00+00,212.24453087978
50214,57b5abe9-e601-41c3-beb8-6ffed9a6d218,Live,354,South,Nearside,Albert Embankment,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","77, 344, 360",Not Applicable,TLRN,,2024/08/13 00:00:00+00,353.861912863582
50215,b3ed312d-09df-48af-b9f2-0d17ef4f40c2,Live,255,North West,Nearside,Kilburn High Road,Brent,"07:00-10:00, 16:00-19:00",10:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","16, 32, 98, 206, 316, 328, 632, N32, N98, UL1, UL2, UL70, UL77, Y316, Y328",Not Applicable,Borough,,2024/08/13 00:00:00+00,254.582779805508
50216,501fd422-b32a-4342-8410-026ce230b1be,Live,82,North,Nearside,Deptford Church Street,Lewisham,07:00-19:00,07:00-19:00,07:00-19:00,Not Applicable,"Bus, Cycle and Taxi","47, UL53",Not Applicable,Borough,,2024/08/13 00:00:00+00,82.3721248094318
50217,c597548e-cb57-4643-b8c5-5280fa67cc15,Live,1121,West,Nearside,East India Dock Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","15, 108, 115, D6, D8, N15, N551",Not Applicable,TLRN,,2024/08/13 00:00:00+00,1121.12086802705
50218,72d1cd54-8c98-417f-a83b-ae722b17b853,Live,498,North,Nearside,Garratt Lane,Wandsworth,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","44, 77, 270, N44",Not Applicable,Borough,,2024/08/13 00:00:00+00,498.102583395433
50219,89ca4aa6-5cf7-4c89-8f27-7a96cb719a4b,Live,369,South East,Nearside,Fulham Palace Road,Hammersmith & Fulham,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle, Motorcycle and Taxi","74, 220, 430, N33, N72, N74, UL26",Not Applicable,Borough,,2024/08/13 00:00:00+00,369.398402641669
50220,20421ba7-e548-4376-9120-f73ecf561f2d,Live,9,North East,Nearside,Northolt Road,Harrow,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","140, 395, 398, 487, N140, SL9, UL5",Not Applicable,Borough,,2024/08/13 00:00:00+00,8.99506344924263
50221,75049590-6243-4deb-b0ab-f1fe1dde02a2,Live,353,West,Nearside,Knightsbridge,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","9, 14, 19, 22, 52, 74, 137, 414, 452, N9, N19, N22, N74, N97, N137, UL38, UL72, UL94, Y414, Y452",Not Applicable,TLRN,,2024/08/13 00:00:00+00,353.408697787827
50222,570ebd4b-81e6-45b1-879a-b25615a5efac,Live,110,South West,Nearside,Drury Crescent,Croydon,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","439, S4",Not Applicable,Borough,,2024/08/13 00:00:00+00,110.1422518532
50223,af6bda95-52fc-4c64-bd03-ca19cbee0a19,Live,401,South East,Nearside,Tooley Street,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","42, 47, 78, 108, 188, 343, 381, N199, N381, UL53",Not Applicable,TLRN,,2024/08/13 00:00:00+00,401.330601093809
50224,4bf4dfd0-b88d-44b9-8a62-c1de9364d0a0,Live,126,South West,Nearside,Camden Street,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","1, 24, 27, 29, 31, 46, 88, 134, 214, 253, 274, N5, N20, N27, N28, N29, N31, N253, N279, UL2, UL4, UL21, UL77, Y27, Y27N, Y31",Not Applicable,TLRN,,2024/08/13 00:00:00+00,126.283134491693
50225,6ef249ac-7a28-41a4-adb8-c5ab221297ef,Live,278,North West,Nearside,Harwood Road,Hammersmith & Fulham,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle and Taxi","11, 28, 295, 306, 424, N11, N28, Y28, Y295",Not Applicable,Borough,,2024/08/13 00:00:00+00,277.68709094252
50226,1b95e4b9-ce9b-4746-9171-2bee5b2892df,Live,308,South,Nearside,Streatham High Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","50, 57, 109, 118, 133, 159, 201, 250, 255, 319, 333, N109, N133, N250, P13",Not Applicable,TLRN,,2024/08/13 00:00:00+00,308.368739300683
50227,d4026308-8fa8-4eba-8238-3c976bb12608,Live,116,South West,Nearside,Central Way,Greenwich,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","244, 301, 472, 672",Not Applicable,Borough,,2024/08/13 00:00:00+00,115.517027774288
50228,f2fa0a18-96d4-451a-92d6-f0a4e264ac8e,Live,98,North East,Nearside,Hounslow Road,Hounslow,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","90, 117, 235, 285, 490, 635, H26",Not Applicable,Borough,,2024/08/13 00:00:00+00,97.6038959963713
50229,88958453-0399-4b12-9787-99619e66d621,Live,240,West,Nearside,Romford Road,Newham,07:00-10:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","25, 86, 325, 425, N25, N86, UL7, UL16",Not Applicable,Borough,,2024/08/13 00:00:00+00,240.249906114749
50230,4b43767a-5b02-4910-8ce4-6e9130f395a9,Live,271,South East,Nearside,Boston Manor Road,Hounslow,07:00-10:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","195, E8, UL29, UL81",Not Applicable,Borough,,2024/08/13 00:00:00+00,270.761331131302
50231,a488302c-8889-47ca-bac4-2229abded1d8,Live,60,North,Nearside,High Road,Haringey,13:00-19:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","149, 259, 279, 349, N279, UL18, UL50, UL65, UL66",Not Applicable,Borough,,2024/08/13 00:00:00+00,59.8337782734299
50232,158c7408-a580-4bea-b3e5-de2d67a831dc,Live,110,West,Nearside,Grove Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","80, 151, 164, 213, 280, 407, 413, 470, 613, 627, N44, S1, S2, S3, S4, SL7",Not Applicable,TLRN,,2024/08/13 00:00:00+00,109.845404296801
