OBJECTID,FEATURE_ID,OPERATIONAL,LENGTH,DIRECTION,CARRIAGEWAY,ROAD_NAME,BOROUGH,WEEK_DAYS,SATURDAY,SUNDAY,EVENT_DAYS,VEHICLES,ROUTE,LANE_TYPE,ROADTYPE,YEAR_REMOVED,DATASET_LAST_UPDATED,Shape__Length
50823,3480f802-4160-419c-95d4-239c2ed3378a,Live,221,South East,Nearside,North End Road,Hammersmith & Fulham,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle and Taxi","28, 306, DL11, N28, UL11, Y28",Not Applicable,Borough,,2024/08/13 00:00:00+00,220.605519047349
50824,19e97c3d-c753-4ffa-960a-4cf5b682173e,Live,123,South,Nearside,Burdett Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,Bus and Cycle,"277, D6, D7, N277",Not Applicable,TLRN,,2024/08/13 00:00:00+00,122.875303483963
50825,09a52c08-4907-44da-89ae-ffc6b836b57d,Live,54,South West,Nearside,Tollington Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","4, 29, 91, 153, 253, 254, 259, N29, N91, N253, N279, UL8, UL28",Not Applicable,TLRN,,2024/08/13 00:00:00+00,54.0549699368506
50826,9e5ae4e3-a6b7-43d8-93ca-e1478baac603,Live,220,North,Nearside,Kidbrooke Park Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","178, 335",Not Applicable,Borough,,2024/08/13 00:00:00+00,219.614682608683
50827,91c713d5-08b7-4918-bfb8-c0c1886ecbf0,Live,25,South East,Nearside,Fraser Road,Bexley,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,Bus and Cycle,"99, 180, 229, 602, 669",Not Applicable,Borough,,2024/08/13 00:00:00+00,24.7606859876107
50828,86078ad8-3b02-4630-bfa4-27dfaec1f5a3,Live,917,South West,Nearside,Clapham Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","155, 333, N155",Not Applicable,TLRN,,2024/08/13 00:00:00+00,917.47858908329
50829,478fec05-ce77-46f8-a14c-f04ea66c7fcf,Live,48,East,Nearside,London Road,Hounslow,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","117, 235, 237, E8, H22, H37, N9",Not Applicable,Borough,,2024/08/13 00:00:00+00,47.8809136073077
50830,14811ddf-cac0-4f15-bc87-89c112ddc6a5,Live,282,South,Nearside,Albany Street,Camden,16:00-19:00,16:00-19:00,13:00-19:00,Not Applicable,"Bus, Cycle and Taxi",88,Not Applicable,Borough,,2024/08/13 00:00:00+00,281.564155311442
50831,65637b82-a47e-4db3-965f-01ab451b8d3c,Live,127,North West,Nearside,Staines Road,Hounslow,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","116, 117, 235, 237, 423, 635",Not Applicable,Borough,,2024/08/13 00:00:00+00,126.942276793387
50832,3268ad0f-8dfc-4e16-936f-61c61cf234a6,Live,160,North West,Nearside,High Street,Newham,Not in Operation,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle, Motorcycle and Taxi","241, 262, 325, 473, 678",Not Applicable,Borough,,2024/08/13 00:00:00+00,160.164089197205
